Title,Path,Page Type,Meta Title,Meta Description,Category,Date,Last edited time,Meta Keywords,Next Page,Previous Page,Publish,Tag,order
4️⃣ Section 4: Analysis,,,,In the pages in this section you will learn how to do basic analysis in Causal Map: how to produce maps and tables to answer your research questions.,4: Analysis,,"April 14, 2025 5:08 PM",analysis; research questions; maps; tables,,,Yes,Overview,710
🔎 Analysing a file,,,,"Analysing a file means
• applying different filters to it, to focus on different parts of the entire causal map in order to answer different questions
• viewing the results in different ways by clicking on different tabs in the right hand side to view maps and tables.",4: Analysis,,"March 24, 2025 10:28 AM","analysing; file; filters; results; viewing; maps; tables; ",,,Yes,Theory,720
📚 The Library,,,,The Library allows you to save and share views of your data.,4: Analysis,,"March 24, 2025 10:28 AM","the Library;; data; save; share; views; ",,,Yes,,730
📃 The Report tab,,,,The Library allows you to save and share views of your data.,4: Analysis,,"March 24, 2025 10:28 AM","the Library;; data; save; share; views; ",,,Yes,,740
📃 The Analysis tab,,,,The Library allows you to save and share views of your data.,4: Analysis,,"March 24, 2025 10:28 AM","the Library;; data; save; share; views; ",,,Yes,,750
📷 Screenshotting your maps,,,,,4: Analysis,,"March 24, 2025 10:28 AM","maps; screenshotting; report; ",,,Yes,,760
✨ Transforms Filters: Tracing paths,,,,You can show the paths from one or more specific factors within your map to a different set of factors.,4: Analysis,,"August 16, 2025 10:00 PM",filters; tracing paths; factors; map,,,Yes,transforms-filters,770
✨ Transforms Filters: Zoom,,,,.,4: Analysis,,"March 24, 2025 10:29 AM","filters; zoom; ",,,Yes,transforms-filters,780
✨ Transforms Filters: Focus or exclude factors,,,,"You can focus on just one or more specific factors within your map (and the factors directly linked to them). ",4: Analysis,,"May 15, 2025 3:49 PM",filters; factors; focus on; exclude; map,,,Yes,transforms-filters,790
✨ Transforms Filters: Top factors and links,,,,.,4: Analysis,,"March 24, 2025 10:29 AM","top factors; top links; filters; ",,,Yes,transforms-filters,800
✨ Transforms Filters: Combine opposites,,,,.,4: Analysis,,"March 24, 2025 10:29 AM","filters; combine opposites; factors; ",,,Yes,transforms-filters,810
✨ Transforms Filters: Remove brackets,,,,"If you use curved or square brackets around your hashtags, you can use this filter hide the hashtags for specific maps if desired.",4: Analysis,,"March 24, 2025 10:29 AM",filters; remove brackets; hashtag,,,Yes,transforms-filters,820
✨ Transforms Filters: Include or exclude hashtags,,,,.,4: Analysis,,"March 24, 2025 10:29 AM","filters; include hashtags; exclude hashtags; ",,,Yes,transforms-filters,830
✨ Transforms Filters: Collapse factors,,,,"You can focus on just one or more specific factors within your map (and the factors directly linked to them). ",4: Analysis,,"March 24, 2025 10:29 AM","filters; collapse factors; ",,,Yes,transforms-filters,840
✨ Transforms Filters: Autocluster,,,,"Often we have more labels that we really want. People like simple maps with 3-10 factors. 30 is about the maximum number you can possibly squeeze onto a map, and if you do you’ll not want more than 30 or 40 links",4: Analysis,,"May 2, 2025 3:50 PM",filters; autocluster; labels; factors; map; labelling,,,Yes,transforms-filters,850
✨ Transforms Filters: 🧲 Magnetic labels,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",4: Analysis,,"March 24, 2025 10:29 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,860
