Title,Path,Page Type,Meta Title,Meta Description,Category,Date,Last edited time,Meta Keywords,Next Page,Previous Page,Publish,Tag,order
1️⃣ Section 1: Getting started,,,,"In the pages in this section you will learn how to get started with Causal Map: what kind of device you need, how to access Causal Map for free, and finding your way around the app.",1: Getting started,,"March 21, 2025 11:44 AM","getting started; Causal Map; app. ",,↙ Section 0: Help with Causal Map (%E2%86%99%20Section%200%20Help%20with%20Causal%20Map%207e65c0818f084c0a9e3b3221b9a16829.md),Yes,Overview,002
🆘 Getting help,,,,"Tooltips, Help button and Support chat",1: Getting started,,"March 21, 2025 11:44 AM","help; tooltips; support chat; ",,,Yes,,010
➡ Causal mapping,,,,An overview of what is causal mapping for you to understand how to use the Causal Map App better.,1: Getting started,,"March 21, 2025 11:44 AM",causal mapping; causal maps; induct; discover; present; query; quote; causation,✅❌ Pros and cons (%E2%9C%85%E2%9D%8C%20Pros%20and%20cons%20dba52e5d829a43268e999948260c4133.md),🗺 Causal maps (%F0%9F%97%BA%20Causal%20maps%205e0f3f7097b645d382d50630ddfa6501.md),Yes,Theory,020
🗺 Causal maps,,,,A causal map consists of boxes (which we call “factors”) joined by arrows (which we call “links”).,1: Getting started,,"March 21, 2025 11:44 AM",causal map; boxes; arrows; factors; links; claims,➡ Causal mapping (%E2%9E%A1%20Causal%20mapping%201968894b99d046c5b7d815ff3244718b.md),,Yes,Theory,030
✅❌ Pros and cons,,,,"So, you’re getting excited about creating maps – but is your project right for it?",1: Getting started,,"March 21, 2025 11:44 AM","pros; cons; Causal Map; causal mapping; narrative data; links; overview; sources; network diagrams; ",,➡ Causal mapping (%E2%9E%A1%20Causal%20mapping%201968894b99d046c5b7d815ff3244718b.md),Yes,,040
🧮 Coding with Excel,,,,"You will learn:
• How to do causal mapping with Excel
• How to upload causal mapping data from your own Excel file to Causal Map where you can analyse it and visualise the data. Remember that uploading and analysing data in Causal Map is completely free: you only need a subscription for using the Causal Map interface for coding your data.",1: Getting started,,"March 29, 2025 4:47 PM",causal mapping; excel; Causal Map; analyse; visualise; data; coding; upload,,,Yes,,050
💻 What you need,,,,"The app is tested on Chrome and Firefox on Mac and Windows, and Safari on Mac, and the new Edge on Windows, and it should work fine on Chrome, Chromium and Firefox on Linux.",1: Getting started,,"March 21, 2025 11:44 AM","Chrome; Firefox; Edge; Safari; Mac; Windows; Linux; Chromium; app; prerequisites; ",,,Yes,,090
📲 Signing  up,,,,"The app is tested on Chrome and Firefox on Mac and Windows, and Safari on Mac, and the new Edge on Windows, and it should work fine on Chrome, Chromium and Firefox on Linux.",1: Getting started,,"March 21, 2025 11:44 AM","signing up; account; email; explore; app; ",,,Yes,,100
👤 Account,,,,"To use the app, you’ll need an account. What account you need depends on what you want to do.",1: Getting started,,"March 21, 2025 11:44 AM","account; app; subscription; ",,,Yes,,110
👭 Received a share?,,,,What to do when someone has shared a file with you,1: Getting started,,"March 21, 2025 11:44 AM",file; shared; map; table; link; view; app,,,Yes,,120
🕑 First 5 minutes,,,,Let’s have a look around the Causal Map app.,1: Getting started,,"March 21, 2025 11:44 AM",tour; app; Causal Map; menu; file; coding; filters; Library,,,Yes,,130
👩‍💻 Coding,,,,"Gather the data, Code, Analyse",1: Getting started,,"March 24, 2025 10:18 AM",coding; code; data; reports; interviews; sources; analyse; PDF; Word; documents,,,Yes,,140
💬 The Statements panel,,,,"These filters determine which statements are used in the maps, in the tables, to display the text of the corresponding statements",1: Getting started,,"March 24, 2025 10:18 AM",statements; filters; maps; tables; sources; groups; navigation buttons,,,Yes,,150
🌗 Statements Filters,,,,"These filters determine which statements are used in the maps, in the tables, to display the text of the corresponding statements",1: Getting started,,"March 24, 2025 10:19 AM",statements; filters; maps; tables; sources; groups; navigation buttons,,,Yes,,160
🌓 Transforms Filters,,,,You first use 🌗 Statements Filters (%F0%9F%8C%97%20Statements%20Filters%200572d4d225ee4667a57c9c563edcfe92.md) to select which statements you want to look at,1: Getting started,,"March 24, 2025 10:19 AM","transforms; filters; panel; ",,,Yes,,170
"✨ Applying Filters ",,,,"These filters determine which statements are used in the maps, in the tables, to display the text of the corresponding statements",1: Getting started,,"March 24, 2025 10:19 AM","filters; live update; apply filters; ",,,Yes,,180
🗺️ The Map,,,,A print-quality version of the map with advanced layout.,1: Getting started,,"March 24, 2025 10:19 AM",map; layout; formatting;  view,,,Yes,,190
🗺️ Vignette,,,,A print-quality version of the map with advanced layout.,1: Getting started,,"March 24, 2025 10:19 AM",map; layout; formatting;  view,,,Yes,,200
"📊 Tables ",,,,You will find all the tables under the table tab at the top of your screen.,1: Getting started,,"March 24, 2025 10:19 AM",tables; tab; presets; cells; rows,📂 The Files tab (%F0%9F%93%82%20The%20Files%20tab%201bd34167ad40805197f8f816498d871f.md),,Yes,,210
