Title,Path,Page Type,Meta Title,Tag,Meta Description,Previous Page,Next Page,Category,Date,Meta Keywords,Publish,Last edited time,order
2️⃣Section 2: Your files,,,,Overview,,🖇️ Merging files (%F0%9F%96%87%EF%B8%8F%20Merging%20files%207202d943d9e3421abfeaee91ac82774d.md),,2: Uploading and data management,,files; data; managing; top menu bar,Yes,"March 24, 2025 10:20 AM",300
📁 Sharing and locking a file,,,,,You can create your own file by copying an existing file or by creating a new file.,,🗃 Making your own copy of a file (%F0%9F%97%83%20Making%20your%20own%20copy%20of%20a%20file%20be6ee39e2e83435890ad0d9e9e058c11.md),2: Uploading and data management,,"sharing; locking; file; copying; creating; ",Yes,"March 24, 2025 10:20 AM",310
🗃 Making your own copy of a file,,,,,"The app creates an uncoded example file for you. You can find it in the dropdown menu, it has a name like example-file-uncoded-your-email-address.",📁 Sharing and locking a file (%F0%9F%93%81%20Sharing%20and%20locking%20a%20file%2046d4a2ace3ab4c8ea928ff5fc125d223.md),,2: Uploading and data management,,"copy; file; uncoded example file; ",Yes,"March 24, 2025 10:20 AM",320
🔄 Restoring a version of a file,,,,,"Oh no! I’ve messed something up!
Don’t worry, the app is continuously saving your work, every 10 minutes, and so you can restore your file to any prevision version, by clicking this icon",,,2: Uploading and data management,,"restoring; version; file; previous; ",Yes,"March 24, 2025 10:20 AM",330
↙ Downloading your data,,,,,"With these two buttons you can download your data in Excel (.xlsx) format. ",,,2: Uploading and data management,,downloading; data; excel format; Causal Map 2 download,Yes,"March 24, 2025 10:20 AM",340
↕ Statement breaks,,,,,"How to manage your data, whether it is downloading, modifying or appending? These bulletpoints will direct you to the relevant sections later in this Guide.",,,2: Uploading and data management,,uploading; multiple; text; file; doc; docx; pdf; structured documents; unstructured documents; question_id; source_id,Yes,"March 24, 2025 10:20 AM",350
↕ Uploading data,,,,,"How to manage your data, whether it is downloading, modifying or appending? These bulletpoints will direct you to the relevant sections later in this Guide.",,,2: Uploading and data management,,uploading; multiple; text; file; doc; docx; pdf; structured documents; unstructured documents; question_id; source_id,Yes,"March 24, 2025 10:20 AM",360
↕ Uploading text files,,,,,"How to manage your data, whether it is downloading, modifying or appending? These bulletpoints will direct you to the relevant sections later in this Guide.",,,2: Uploading and data management,,uploading; multiple; text; file; doc; docx; pdf; structured documents; unstructured documents; question_id; source_id,Yes,"March 24, 2025 10:20 AM",370
⬆ Uploading Excel files,,,,,"How to manage your data, whether it is downloading, modifying or appending? These bulletpoints will direct you to the relevant sections later in this Guide.",,,2: Uploading and data management,,uploading; manage; modifying; appending; excel; files; hybrid format; wide format,Yes,"March 24, 2025 10:20 AM",380
↗ Uploading hybrid data,,,,,,,,2: Uploading and data management,,uploading; hybrid; data; appending; QuIP,Yes,"March 24, 2025 10:20 AM",390
🔗 Uploading only links,,,,,,,,2: Uploading and data management,,upload; links; excel,Yes,"March 24, 2025 10:20 AM",400
↕ Roundtripping,,,,,"How to manage your data, whether it is downloading, modifying or appending? These bulletpoints will direct you to the relevant sections later in this Guide.",,,2: Uploading and data management,,uploading; multiple; text; file; doc; docx; pdf; structured documents; unstructured documents; question_id; source_id,Yes,"March 24, 2025 10:20 AM",410
🖇️ Merging files,,,,,This button allows you to permanently merge another file into the current file.,,2️⃣Section 2: Your files (2%EF%B8%8F%E2%83%A3Section%202%20Your%20files%20680a7548afde4d4e879fe6c9b63b40c2.md),2: Uploading and data management,,merging; files; merge,Yes,"March 24, 2025 10:20 AM",420
