Title,Path,Page Type,Meta Title,Meta Description,Category,Date,Last edited time,Meta Keywords,Next Page,Previous Page,Publish,Tag,order
5️⃣ Section 5: AI,,,,"On the next pages you will learn how to use AI to automatically analyse your data in Causal Map.  ",5: Coding with AI,,"March 24, 2025 10:34 AM",overview; AI,,,Yes,Overview,1000
🤖 Auto-coding,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:34 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1010
🤖 Auto-coding: settings,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:34 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1020
The Responses tab,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:34 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1030
Causal Map AI app,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:34 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1040
💖 Sentiment,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:34 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1050
🗃️ Canonical workflow,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:35 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1060
🔎 Semantic search,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:35 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1070
The Spelling tab,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:35 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1080
❕AI Answers,,,,"This exciting new possibility to do auto coding at Causal Map.
It’s invitation only at the moment.",5: Coding with AI,,"March 24, 2025 10:35 AM",auto-coding; AI; languages; prompt; identifying links,,,Yes,,1090
